entry,emotion
"This serial is interesting to watch as an MST3K feature, but for todays audience that's all it is. I was really surprised to see the year it was made as 1952. Considering that fact alone makes this a solid (lowly?) 2 in my book. The cars used don't even look contemporary, they look like stuff from the 30's. It's basically Cody (the lone world's salvation? Sheesh talk about an insult to everyone else, like the military), anyway it's Cody in his nipple ring flying suit against Graber and Daley two dumb*ss henchman who sport handguns and an occasional ray gun thats pretty lame in its own right, enjoy. If you want to watch a really good serial see Flash Gordan, it's full of rockets that attack each other and a good evil nemesis and also good looking women, this has NONE of that. And Flash was made 15 or so years before this crap so you can give it some slack. Something made in 1952, this bad, deserves a 2. Nuff said. give it a 6 if your watching it as a MST3K episode, those guys have some good fun with it; a tweak of the nipples here, a tweak there and I'm flying! And now as an added bonus, I bring you the Commander Cody Theme song as originally sung by Joel and his two character bots Tom Servo and Crow aboard the satellite of love for episode eight The Enemy Planet:<br /><br />(Singing at the very beginning credits);<br",A
"I haven't seen this, & don't plan to see this movie or any other that includes Lindsay......unless & until ""poor little rich girl"" straightens out her life for a 2 year period beginning with her most recent arrest in July 2007.<br /><br />In fact, I don't know anyone that has gone to see ANY of Lindsay's recent movies. I rather imagine 2007 will be the high water mark in her movie making career, until she cleans up her act. All of the recent publicity has only hindered her movie making career, if she has any further aspirations to make any more movies <br /><br />Up to this time, movie producers have actively sought Lindsay for roles in their upcoming production. Now, Lindsay will probably have to go to auditions & actually compete for ANY role. Her reputation is currently ""poison"" & quite possible could have a negative effect on box office ticket sales on any movie she is in.<br /><br />Sooooo....now Lindsay is going to have to deal with ""not being wanted"".....is she going to be able to handle this?<br /><br />I wonder if even Jay Leno will want to have Lindsay back on his TV Show?<br /><br />All of the foregoing is merely my OPINION. I have no inside information.",A
"Okay. Look- I've seen LOTS and I do mean LOTS of these types of films. You know, the ones where the DVD cover just look SO good and scaarrryyy that you just cant WAIT to see it? Well, I got GOT again. And I'm getting' pretty tired of it. But I digress. It's pretty simple. It sucked(I know, rather juvenile) but it did. AndI SO agree with the other poster that if we had to sit through the boring thing, why oh WHY did the lead actress have to be so unnattractive?Distractingly so if I may add. And the scowl she used convey unresolved pain/grief over the death of her daughter did little help. I mean, Jesus.. Oh, but the crawling-on-her-back-demon thingee was pretty neat...",A
"That might be a bit harsh for me saying that, but sadly so far in his directing career its true. Just have a look at what he as done so far. They barely make it past the 3 star mark.<br /><br />Why did I watch this movie? 2 reasons. Lucy Lawless and Heroes star Greg Grunberg. Lucy was outstanding in this movie, her performance carries the whole movie. I do hope she gets a ""blockbuster"" and breaks into the bigger league of actors, she clearly has the skills. Greg was not so impressive, typical TV acting style.<br /><br />The movie is oddly categorized as a horror. The only ""horror"" is short flashbacks, and they last a max of 2-5 seconds with a little blood in them. I personally would call this more a ""drama/thriller"".<br /><br />But no matter how interesting the story actually is, bad directing, editing and acting (appart from Lucy) destroys it. You get no real connection to the actors, something which is very important in a story like this one. You just sit there watching feeling nothing. Its like watching a bad TV soap....actually I think the TV soap would be more interesting.<br /><br />My advice: Stay away from this movie...or better yet just stay away from anything Michael Hurst is involved with.",A
"There's a major difference between releasing an original, intense, edge-of-your-seat, scary, gore-fest, and doing like filmmaker Eli Roth and his team have done with ""Cabin Fever"" and simply acted like it. The film follows five college graduates into a cabin in the woods that begins to prove fatal as one after the other succumbs to this mysterious, fast-acting, flesh-eating disease. It's not long before the friends turn on one another, and can barely stand the sight of one another, much less want to be in the same vicinity as them. As gross as it all sounds, there's a certain spark behind the basic premise of this film that could have worked, in the hands of a less cocky filmmaker. Unfortunately what we end up with is poorly drawn characters whose sole purpose seems to be to look beautiful at the beginning to make the inevitable decomposition more contrasting, a hackneyed script so profanity-laden as to leave the viewer tuning out the dialogue, and several incomprehensible subplots that motivate little more than (in one instance) an on-screen appearance by director Roth. This is sloppy film-making in several ways! Avoid this time devourer.",A
"If I had realized John Wayne was in this movie, I would not have watched it. It's demeaning to the Japanese, unfortunate for Hollywood and embarrassing to any thinking person. But then, most John Wayne movies are like that. Hollywood in the fifties still believed that everybody in the world loved Americans when the truth was (and still is) somewhat different. The movie deals with the nineteenth century isolationism of Japan. Maybe it's Hollywood that should be isolated.To put it as succinctly as possible, this film is appalling jingoistic claptrap.(Sort of a Madama Butterfly with bad music.)",A
"Was this movie stupid? Yup. Did this movie depth? Nope. Character development? Nope. Plot twists? Nope. This was simply a movie about a highly-fictionalized Springer show. It shows the lengths that some people will go to get their mugs on TV. Molly Hagan did a great job as Jaime Pressly's mom. Jaime is....well...GORGEOUS! This flick wasn't so much made to be a ""breakthrough"" movie, rather, it was intended to life in a trailer park (I live in a trailer park and ours is nothing like the one in this movie) where everyone sleeps with everyone else, all the girls get pregnant by different guys, and all the guys drive rusted-out '66 Ford pickups (exaggeration, of course, but that's the picture everyone sees when you mention ""trailer park""). Some people over-analyze movies (case-in-point: Star Trek freaks). I watch movies purely for the entertainment value; not to point out that the girl is wearing a different shirt in a different scene (read the ""Goofs"" bit about Connie's shirt. Could it have been better? Sure. But it was funny as hell.",A
"Most movies I can sit through easily, even if I do not particularly like the movie. I am the type of person who recognizes great films even if I do not like the genre. This is the first movie I could not stand to watch. Cat in the Hat is the worst movie I have ever seen--and I've seen a lot of movies. The acting is okay (Myers is good as the cat, it's just that he is REALLY annoying). The silly songs the cat sings were boring and monotonous, even for the children in the audience. The plot drags on and on, and viewers must suffer through poor dialogue. The ""witty"" parental remarks are disgusting, not funny (I remember some awful comment about a garden hoe being compared to, well, a type of person people call a ""ho""). Even though the movie is really short, it seemed to last FOREVER. Do not waste your time. I know small kids who hated this movie. If children can't stand it, I do not know how any adults can. I would like to fume more about this film but I do not even feel like wasting anymore time writing this review about it. I HATED IT! So, in summary, do not spend 90 minutes of your life watching this! See a GOOD movie!<br /><br />1/10 stars--the lowest review I have ever given a movie.",A
"I was always curious about this film because it is so tough to find, so when I stumbled upon it on Ebay I forked over the $10 and bought it, now I understand why its so rare! This film is SO bad, so terribly written and hopelessly low budget that the ending credits, which show all of the cut scenes where they fumbled their lines, are literally the movie's highlight. The film is about a psychic (Pettyjohn, cast for one obvious reason, her topless scene) whom uses her powers with an experimental machine to pull objects from another dimension into this reality. When she pulls in some kind of box like object the military nonchalantly throws it into the open back of a truck with one soldier to guard it, and gee, what do you know? SURPRISE! A kid in a foam-rubber monster costume pops out, instantly kills the soldier with a scratch across his face, then escapes to a nearby city. But rather than deploy half the armed forces of the county to find it and protect the public those in charge just leave it up to Pettyjohn and Ray to find it on their own, but no matter, this movie blows all its credibility LONG before then. This barely escapes being voted a 1 by me only because of unintentional laughs, somebody needs to alert the producers of ""Mystery Science Theater 3000"" if they don't know about it already! 2 out 10, really, REALLY bad!",A
"National Lampoon was once a funny magazine. Whether you liked the stoner hippie days of the late sixties or the smug and sassy coke-head days of the seventies (when the comedy was fortified with plenty of naked babes) depends very much on your date of birth, but everyone agrees that by the early eighties, middle age had killed off whichever remaining sparks of anarchic humour that the drugs hadn't, and offerings like this film and the increasingly terrible spin-off records shot further holes in the hull. Outside of a nicely illustrated title sequence, there's absolutely nothing to recommend this singularly depressing stinkbug. If you make it through the baffling opening segment, 'Growing Myself', hoping things will get better, tough luck - they don't. Whoever thought the idea of a woman being brutally raped with a stick of butter was comedy gold deserved to have his head handed back to him on a platter of dog mess. If there's ever a global shortage of guitar picks, the negatives of this rambling, incoherent ragbag of crummy ideas and dire performances may well serve some purpose.",A
I found Horrorvision almost unwatchable. While only 70 minutes in length I still found myself hitting the fast forward button again and again. The acting was of the `if I scream and say ***k a lot I'm intense' school. And the story was at best a scenario that had yet to be fleshed out.<br /><br />While I never go to Full Moon for great film making I have never seen them produce as bad a piece of junk as this.,A
"A very bad attempt at a young spinal tap. At least the music in spinal tap was good.<br /><br />This is really a very sad case of Hollywood nepotism at it's worst. A bunch of Hollywood execs, bad musicians and producers create some ""poopie"" show so their kids can be in the spotlight. Oh please!!! The potty humor was even bad. I hate this stuff when there is really incredibly talented kids (musicians, actors and artists) out there busting their butts to have success and this crap comes along.<br /><br />Help u all!!!! Why wasn't Gene Simmons in it??? Ameriac's taste in entertainment is going down the toilet.",A
"You do realize that you've been watching the EXACT SAME SHOW for eight years, right? I could understand the initial curiosity of seeing strangers co-exist on an Island, but you'd think that after watching unkempt, stink-ladened heroes run roughshod through the bush with an egg on a spoon for half a decade would be enough to get you to commit to something a little more original (and interesting).<br /><br />And I'm not even speaking of the shows validity which for the record I find questionable. It's just hard to suspend disbelief for ""Bushy Bill"" eating a rat when the entire crew of producers and camera people are housed in an air conditioned make-shift bio-dome sipping frosty mochcinno's with moxy.<br /><br />What's the appeal here? I don't care about these people or their meandering lives. I just don't get it. But if you DO find yourself being captivated by hairy, unwashed people, I suggest you turn off your TV and just take a trip to your local bus station where you can see people like this in their TRUE habitat. They call them HOMELESS PEOPLE, and free of charge, you can sit back and marvel in their uncanny ability to retrieve various cigarette debris from a plethora of garbage canisters, eventually striking ""pay-dirt"" and fashioning a homemade Dr. Frankenstein-styled cancer-stick, all the while begging people for change for food when the stink of ""Aqua Velva"" on their breath is enough to suggest otherwise. And the best part? Much like Survivor, every",A
"what kind of sh*t is this? Power rangers vs Freddy? It was watchable and as good as the first film in the beginning but from the part where the protagonists get super powers in theirs dreams, it started to become childish. This sh*t should have been rated PG or PG-13 rather than R. I expected to see some very mature stuff but it was only for the 1/3 of the film. The rest are for little kids. Plus it's focused too much on Christianity. I know Freddy's a demon but there are many religions that have different ways to fight demons. Why does it always have to be Christianity? This is total Orientalism and filled with white men/westerner's superiority. Don't' watch this, show it to little kids who loves power rangers.",A
I have seen this movie and the other one. Trinity is my name and i find that this one is worse then the first one. I have no idea why they even made another movie it was stupid and pointless sorry to say that i have all of them. I have sat through them number of times and it still drives me to turn it off 5 minutes into the movie. I like Terence Hill movies and i like Bud Spencer but this movie just drove me up the wall. If it had a different story line or at least more of a plot and more comedy it might have been funner and worth the 5 dollars i spent buying all the movies. But you make mistakes so i would say save your money and don't bye this movie or any of the ones that go with it trust me on this one.,A
"I get to the cinema every week or so, and regularly check out this site, but never before have I felt compelled to comment on a film.<br /><br />To my all time list of shockingly bad films - Last Man Standing, Spawn, The Bone Collector - I can now add the drivel that was 'Hollow Man'.<br /><br />From the awful opening titles - a ridiculously over-long run through of cast and crew put together with alphabetti spaghetti - through to the insulting finale - a world record number of cliches and some of the most absurd dialogue and acting to have ever made it to cinema - this film is dismal, and only the impressive computer graphics keep you from walking out long before the end.<br /><br />This isn't just my opinion - it was that of my friends, and everyone around us. When large sections of an audience are laughing and groaning during and after a serious thriller, its clear that the film is hopeless.<br /><br />Not only that, it was sick too. The director took the action beyond the bounds of realistic fare for a violent film, and into the realms of an over the top blood soaked B-movie. It's difficult not to imagine the director as some sort of dirty old man, because the extent of the invisible man's forays out of the lab and into the outside world extended only to two attempts at having a feel of some breasts. Perhaps sex could well be the",A
"The premise is amazing and the some of the acting, notably Sally Kellerman and Anthony Rapp, is charming... but this film is near unwatchable. The music sounds as if it comes from some sort of the royalty free online site and the lyrics as if they were written with a rhyming dictionary open on the lap. Most of the singing is off-key. I think they may have filmed with the singing accapella and put in the music under it... The dialogue is really stupid and trite. The movie works best when it is actually talking about the real estate but unfortunately it strays to often into stupid farcical sub-plots. I found myself checking my watch after ther first twenty minutes and after 40 wondering 'when is it ever going to end.'",A
"This is one of the most boring horror films I have ever seen, as it's absolutely god awful, John Carradine has very limited screen time. All the characters are boring, and the story is terrible, plus I could see the two twists at the end coming miles away!. The great setting and the creepy house definitely would have helped if it wasn't so damn boring, and there isn't one character to root for either, plus I hope it makes it's way to the bottom 100, because it deserves to be there in my opinion. When John Carradine finally shows up at the end, it's a pretty good scene but it's already way too late, and the only other screen time he had was in flashbacks, plus the only really gory scene in the movie is when a character gets his face messed up by Bee's, as it was rather gory. I got this in a DVD Horror set called Back From The Grave and everyone really overacts in my opinion, plus it's lucky this was included in a set I bought otherwise I would have chucked this out the window!. This is one of the most boring Horror films I have ever seen, as It's absolutely god awful, John Carradine has very limited screen time, and I say avoid it like the plague!, you don't want to go through the torture. The Direction is absolutely terrible!. Carl Monson does an absolutely terrible! job here, making every thing look cheap, wasting",A
"The movie has the longest, most tortured and agonized ending of any movie I've seen in a long time. Unfortunately it starts right after the opening credits. January Jones gives such a wooden performance, I was surprised she didn't go up in flames when she got near the candles in the film. I don't really remember her from the other films she's done (a blessing I have to believe. I never criticize an actors performance because in film there are too many things which can affect it but in this case,it is so bad that it actually stands out from the ATROCIOUS script. Granted she's given lines and situations Meryl Streep would have trouble with but I swear at times shes reading from a cue card off set. At other times I thought she might actually be learning disabled or slow in some way. For REAL! The plot, dialog and pacing are as bad as you'll ever see but there is still no excuse for this performance nor for the director that let it be perpetrated. I feel sorry for the other actors. Cruel intentions/ 10 little indians/breakfast club shoved into a rotten burrito then regurgitated by a grade school writer- director. Take that back this has Studio exec crayola all over it.",A
"Let me start off by saying that I didn't watch this movie at first with high expectations. It was recommended to me by a friend with mediocre taste in movies, and ""MTV"" was pasted on the front cover so I was not expecting much. What i was expecting was a tear-jerker, overly dramatic but at least effective.<br /><br />I was wrong.<br /><br />Firstly, let me start off that I had never read the book nor watched any other versions of the movie.<br /><br />The acting was my main gripe with the film. By god is it AWFUL. The main girl is pretty mediocre, but when compared to the rest of the cast she's Maryl Streep. The main ""Hero"", Heath, is just plain awful. He can sing decent sounding clichéd songs, but that's about it. His acting broke the 'sad' moments by being so bad at points that I just burst into laughter. The Isabel girl was pretty godawful too, and the brother was just a flat character that was played by an actor that couldn't display emotion whatsoever. And when he tried to, it failed miserably. Neil Patrick Harris was the only decent actor, playing Edward, although it's obvious the direction was bad because even he did not live up to what I've seen him do. Oh, and the father wasn't half-bad to my memory, but he was in the movie for such a small amount of time I can hardly remember.<br /><br />The story itself was not very good.",A
"The reviews I read for this movie were pretty decent so I decided to check it out. BAD IDEA! This is another movie about a ghost out for revenge against a group friends. The story is stupid, mix two parts Ringu with one part Prom Night, a sprinkle of I Know what you did Last Summer, and add a tiny dash of Single White Female - now blend until completely nonsensical. There is nothing new to this plot, and revisiting the clichés I've grown so fond of wasn't even entertaining this time. This movie jumps to and from the past too much, and once I made sense of it all I realized it still didn't make much sense. Characters go from sane to psycho killer in the blink of an eye. Speaking of characters, they are all your stereotypical favorites - the greedy selfish lawyer, the egocentric actress, the has-been baseball star, the video voyeur, the bitter girl, the spooky quiet chick, the 'nicer-than-nice' nice girl, a freakin' black cat... and I didn't care about any of them. Perhaps a better writer could have made the movie work, there were some decent scenes in it, but overall this movie was a mess. I should also mention a certain 'video tape' that would have been IMPOSSIBLE to shoot. <br /><br />This movie isn't the worst Asian horror has to offer by far, but it is still pretty bad. If you just want to see some creepy images in the dark, or",A
"This movie is one of the worst movies I have ever seen. There is absolutely no storyline, the gags are only for retards and there is absolutely nothing else that would make this movie worth watching. In the whole movie Fredi (oh my god what a funny name. ha ha) doesn't ask himself ONCE how he came from a plane to middle earth. There are plenty of stupid and totally unfunny characters whose names should sound funny. e.g. : Gandalf is called Almghandi, Sam is called Pupsi ... and so on. I didn't even smile once during the whole movie. The gags seem like they were made by people whose IQ is negative. If you laugh when someone's coat is trapped in the door (this happens about 5 times) then this movie is perhaps for you. Another funny scene: They try to guess the code word for a closed door (don't ask why- don't ever ask ""why"" in this movie) and the code word is (ha ha): dung. So if you laughed at this examples you might like this movie. For everybody else: Go to Youtube and watch ""Lord of the Weed"": it's a lot, lot more fun.",A
"This was not enjoyable to watch. Frank puts all his dreams on the back burner and gets a normal (boring!) job just so his stepson can go to film school, but his stepson decides that he'll make a humiliating documentary about the man instead. A documentary filmmaker should point the camera and simply shoot, not manipulate and comment with snide captions. The bitterness and resentment of the filmmaker towards his stepfather is obvious. And sad. The goal seems to be to make Frank appear dumb and pathetic, instead he comes across as the most human of the 3 people featured.<br /><br />Essentially a smear campaign all dressed up as something much smarter and edgier than it really is. It left me with an intense dislike for the filmmaker.",A
"We all have seen some unending epics in our times, but this one really tops them all! The movie is so long and so slow, that, just to put things in perspective, i felt a lot older when i left movie hall, than I entered it. At almost 4 hours length, it could have rather been made into a tele-serial.<br /><br />What starts as a promising comedy slowly loses its pace. Nikhil advani has woven the plot around 6 love stories and he cant make justice to any one of them... There is no interconnection between them to start with, and links shown in last 20 minutes just seem to be forced to connect the story.<br /><br />Situation is made worse by Silly dialogues (most of them repeated in Hindi cinema over years)and stupid cinematography.<br /><br />Priyanka doesn't realise that she actually needs to play her role rather than just looking glam on screen... An utter waste of beauty without acting skills.<br /><br />And then there is loud-is-humorous Govinda & my-face-twists-better-than-jim-carrey Akshay Khanna who keep belching at the top of their lungs to irritate already tired viewers.<br /><br />Only good part in movie is John & Vidya's love story & nice acting/comedy by sohail & Isha. But they are so good at their roles that just these two couples could have justified the movie without jumbling it with other bunch of characters. Their brilliance gets lost in the midst of other substandard plot lines.<br /><br />My guess - Director was",A
"The Wicker Man Has Done The Impossible! It replaced Cat Woman as the worst recent movie in my steel trap cinema mind. YES it's really that bad. So bad that when sitting down to write this review I thought to myself ""If I had a choice to either see this movie again or to have red hot needles shoved in my eyes"" I might actually go for the red hot needles.<br /><br />Neil LaBute created a rare movie where Joel Schumacher could sit back and say with comfort and a guilt free mind ""Yeah that's some bad direction right there"".<br /><br />I think the first clue for myself should have been the tag line: ""Some Sacrifices Must Be Made"". Sure it might sound sort of cheeky ominous line to intrigue you but the sacrifice will be all on the audience side of the screen. Trust me on this the people responsible for this movie should be charged with a hate crime..or at least fraud for trying to pass this off as anything resembling entertainment. Seriously! The movie is about an island where men are just there for breeding and I would still rather with be stuck on Gilligans Island with only pictures of Condoleezza Rice then find myself stranded there.<br /><br />The most entertaining part about this movie was the guy who ripped the loudest fart I've ever heard in a movie theater. That's not a joke nor is it fictional. I've never been to a ""thriller"" and heard so",A
"Hollywood does it again. Lots of money, no creativity. I'm sure the writers were on something other than oxygen when they wrote this one. Based on the previews, I thought that this would be a funny movie. But if you are not up on the latest stupid pop culture then you'll miss most of the silly humor in this movie. Why waste your time. You can sit on a log doing nothing and have more fun than this movie will provide.<br /><br />",A
"This is probably one of the worst ""wanna be a low budget hit films"" to credit the dinosaur genre. The film is so predictable you could go away, cook yourself dinner, go answer the phone or whatever and when you're back you'll know exactly what has happened. The special effects are so poor you would have thought Lego bricks were used and the ""super fast"" dinosaurs were so tame that it makes a pet dog look like a super predator. The acting is over cooked. They try so hard, yet there just isn't enough character behind them to get into the characters and as for the scientist... Yeah okay we know exactly whats going to happen to the blonde chick in glasses. Stereotypical was created for films like this. If you want to watch this film, I suggest you aren't in as a serious mood as the cast and crew obviously were. And if you are really really into dinosaurs and know everything in the world about them, don't watch it, you might break the screen - the facts are that far off.",A
"I just sat in the theater bored as hell, i wanted to leave halfway through the movie. The plot is simple 4 Samoan guys wreck weddings. So They have to bring a dates in order to get into the wedding. Yawn.<br /><br />The thing that peeved me off the most was the so-called crude jokes... They were highly UNfunny, clichéd and thrown in your face, to make you get into the already dull movie. The acting was below-average and i felt this movie just went on and on about nothing but a bunch of unfunny jokes and a predictable plot.<br /><br />All in all, one of the worse movies i've seen of 2006, unfunny, bad acting, just ugly.<br /><br />Well thank god a friend shouted me. <br /><br />Avoid.",A
"I saw the omen when i was 11 on tv. I enjoyed the Trilogy. So when the chance to finally see one at the cinema came around i didnt pass it up. I went in to the cinema knowing that what i was about to see wasnt a cinema release but a made for TV film. However being a fan i couldnt resist. But this Omen movie which i saw at a midnight screening didnt bring chills it brought laughter. Risible Dialogue such as ""it is written that if a baby cries during baptism they reject there god"". What nonsense.No decent set pieces. Faye Grant so Good in V is wasted with this script from hell. No suprises and no fun. However i did laugh out loud several times at our bad it was.Truly Pathetic.1 out of 10",A
"It happened with Assault on Prescient 13 in 2005, it happened with The Lost Boys in 2008 and now it's happened with another classic from the 80's Wargames... :( Why, oh why, oh why won't Hollywood ever learn? Leave them alone...! They can't be remade...! They suck....! We all hate them....!.<br /><br />Those of you who haven't seen the original 1983 version with Matthew Broderick & Ally Sheedy, go rent/buy it now....!! The hardware may look dated, the special effects are not new millennium but it still beats this rubbish hands down....<br /><br />For those of us who lived through the 80's when hacking was sexy, the Internet was something mysterious and your disks came as a 8"" floppy variety, well we now possess the wisdom to avoid this film like a Thermonuclear War! <br /><br />Never before has ""a nice game of chess"" seemed the better option....",A
"Many of the lead characters in Hideo Gosha's 1969 film ""Hitokiri"" (manslayer; aka ""Tenchu"" -- heaven's punishment) were actual historical figures (in ""western"" name-order format): Ryoma Sakamoto, Hampeita Takechi, Shimbei Tanaka, Izo Okada, ____ Anenokoji. The name ""Hitokiri,"" a historical term, refers to a group of four super-swordsmen who carried out numerous assassinations of key figures in the ruling Tokugawa Shogunate in the mid-1800s under the orders of Takechi, the leader of the ""Loyalist"" (i.e. ultra-nationalist, pro-Emperor) faction of the Tosa clan. What was this struggle about? Sad to say, you won't find out in this film. ""Brilliant History Lesson"" indeed!<br /><br />No, Gosha is much more interested in showing you the usual bloody slicing and dicing and (at absurd length) the inner torment of the not-very-bright killer Izo Okada than in revealing actual history. Sakamoto, for example, was someone of historical significance, considered to be the father of the Imperial Japanese Navy. The closest Gosha comes to providing a history lesson is the scene in which Sakamoto, whom Takechi considers a traitor to the Loyalist cause, comes to Takechi's mansion to try to sway him ideologically. He begins by talking about the international political situation, with foreign warships in Japan's ports and a Japan that is too weak militarily to defend against them. Want to know more? Sorry. Gosha cuts off this potentially fascinating lecture in mid sentence(!). So much for informing his audience about a turning point in Japanese history.<br /><br />The film left me in utter confusion",A
"My comment is for the Russian version of Space Race named Bitva za Kosmos (Battle for Space) shown on Russia's First Channel on April 10-13, 2006. Bad translation could have ruined some details but I doubt it's the case. The number of factual errors is such that it's impossible to list them, especially in the first episode (the development of first missiles). Even the U.S. half of the film contains multiple errors and omissions. The audience is not told of any V-2/A-4 launches from the U.S. Three different Jupiter C rockets are launched with the same serial number 'UE' onboard. Apollo 1 is to be launched to the Moon, etc. In the Russian half, each and every person is ludicrous. Korolev is scared of NKVD, Glushko is saboteur and traitor, Mishin is alcoholic etc. Men as functions; no motivation, no life at all. Uniform and decorations are awful. Gagarin sings a frivolous song awaiting launch (I think this was added specially for Russian version).",A
"This is the biggest insult to TMNT ever. Fortunantely, officially Venus does not exist in canon TMNT. There will never be a female turtle, this took away from the tragic tale of 4 male unique mutants who will never have a family of their own, once gone no more. The biggest mistake was crossing over Power Rangers to TMNT with a horrible episode; the turtle's voices were WRONG and they all acted out of character. They could have done such a better job, better designs and animatronics and NO VENUS. <br /><br />don't bother with this people...it's cringe worthy material. the lip flap was slow and unnatural looking. they totally disrespected shredder. the main baddie, some dragonlord dude was corny. the turtles looked corny with things hanging off their bodies, what's with the thing around raph's thigh? the silly looking sculpted plastrons!? <br /><br />If they looked normal, acted in character and got rid of Venus, got rid of the stupid kiddie cartoon sounds...and better writing it could have been good.",A
"Despite what a lot of other people thought about the first movie, I really liked it. This one however. How to sum it up in one word?: This movie is (and here comes the word): CRAP!<br /><br />But let's look at it part by part: Here is the plot: Finally the old queen has been removed from her castle, but her successor: Snow white has problems of another sort: The Court-Jester, Father of her son, has gone astray, as the super, Spliss, goes to the extreme, to battle his gray hair and sells the royal offspring for some blond and full hair. In her desperation Snow white seeks the help of Bubi (Otto Walkees),who must first find his other six dwarf companions and then try to find the royal offspring or at least try to find the name of Rumpelstiltskin.<br /><br />The whole plot seems to have been written on a weekend, where the writers were very drunk but were just under pressure from the studio to write the screenplay. <br /><br />Yes, there are some good jokes. Even for fans of the first part, or for fans of any of the other actors, it's really not worth buying the the DVD. Believe me. <br /><br />The only thing, that at least kind of saves the movie from complete oblivion, are the performances of some of the actors. That's why I gave the move 3/10. Sadly, the script is so bad that none of the actors or all of them",A
"First off I'd like to say that if I had to honestly rate this movie from a 1 to a 10, then I'd give it a -4. It's not that I'm a tough critic, it's just that this movie is THAT bad. Everything from the story, to the directing, to the editing is awful. The story is not even halfway decent to begin with (you can't expect much since it is based on a video game, something I was not aware of going into the movie) but the directing and editing made it even worse. The movie cuts at awkward points and goes to scenes that are completely unrelated to the previous ones; some, like a quick sex scene in the middle, don't even make sense being put into the story seeing as how the characters don't show any feelings toward each other. You could go into this movie expecting to see a pile of crap on the screen for an hour and a half and you'd still be disappointed. Honestly, if you pay to watch this movie then you are wasting your money, and if you don't pay anything then you are still wasting an hour and a half of your life. So do yourself a favor and don't watch it.",A
"...okay, maybe not all of it. Lured by the false promise of bikini-clad women on the movie's cover...but the HORROR...THE HORROR... ...whatever you do, do NOT watch this movie. Gouge out your eyes, repeatedly bash your skull in...do what it takes. Never again--never forget!<br /><br />",A
"I borrowed this movie from library think it might be delightful. How wrong am I!<br /><br />It is such a bad movie that I have to write something about it. Mira Sorvino is SO bad in the movie, it is very painful to watch the scene with her. She is a pretty girl, but in this movie, She is not seductive at all, but I will have to witness her awkward attempt to seduce almost all the other major characters. It is so ridiculous.<br /><br />And the dialog of the film is so pretentious, and lack the humorous fact that make then acceptable.<br /><br />Totally failure.",A
"Jimmy Dean could not have been more hammy or absurdly loutish. Hysterical if viewed through the eyes of Mystery Science Theatre 3000, which I rate as a 10. I mean, the sight of this obese, corn-fed hog trouncing around Malta should be enough to send you to the vomitory, if you make it that far into the film. This ugly, hysterical farce should be placed with the likes of ""Booty Call"", ""Pumpkinhead"", ""Swarm"", and ""The Smurfs Go To Bangladesh"". A -gulp- film like this proves that sometimes actors, writers, producers, etc. get behind on their mortgage, or get stoned to the point of insanity. It begs the question ""who was so stupid to finance such a whale?"" But then, had good judgment prevailed and ""Final Justice"" never was, then we wouldn't have the delightful spoof voice-over in ""Mystery Science Theatre 3000""!",A
"Inept, boring, and incoherent supernatural ""thriller"" in which college student Cassie (Melissa Sagemiller) is the constant victim of hallucinations and nightmares after a car accident claims the life of her boyfriend Sean (Casey Affleck).<br /><br />I can't begin to tell you how bad this is...nothing of any importance ever happens nor is there ever any sort of actual entertainment value. I did not like this cast in this particular film - they are all sadly unconvincing (then again, their roles are no good). To promote this as a horror film is a joke. Where are the scares? There's no sense or suspense - there are a few good songs but that's about it.<br /><br />How on Earth did this project get the green light? Writer-director Steve Carpenter has no discernible vision or talent that I can sense. Worst of all, the conclusion really makes the whole movie pointless.<br /><br />The alleged ""killer cut"" that I watched is 86 minutes of pure tedium.<br /><br />1/10",A
"Seriously. This is one of the most stupid family shows of all time.<br /><br />Plot- A family without a mother and 3 ""dads"" raise 3 little girls in San Francisco, California.<br /><br />Characters- Neat freak Danny, cartoon loving Joey, hair obsessed Jesse, spoiled brat Michelle, stupid DJ, and almost normal Stephanie. The creators of this show really want you to hate the characters, don't they? <br /><br />Therefore, I do not think anyone should watch this show. I only chuckled at a few moments in the show's whole running, and I think that instead of lethal injection, all criminals should be forced to watch this show, a torture far worse than anything else.<br /><br />1.5/10 or: D",A
"I chose to see this movie because it got a good score here on IMDb. But a lot of people either have really poor taste or someone's been fixing the score.<br /><br />Either way it was a real disappointment. The movie is exactly as stupid and far fetched as the title would suggest. There really is no reason to give a summary of the plot - but here goes: it felt like someone had been thinking: ""Wouldn't it be cool to make a movie where there were snakes on a plane? And then the snakes for some reason would go crazy and start biting and stuff?!?"" And that's about it! The plot is thin and unoriginal. The snakes are bad CGI (but it makes sense to cut corners on a movie that no one in their right mind will recommend to anyone!). The acting is poor, and all people are unbelievable stereo types.<br /><br />To sum it up: It's one of the worst movies I've ever seen - stay away!",A
